WN18RR, _also_see_WN18_generic_PPO_simple_embedding_100
([('01116380', '¬_also_see', '02461723'), ('02461723', '¬_derivationally_related_form', '06756407'), ('06756407', '¬_derivationally_related_form', '00835903')], '02461723')
([('01129977', '_also_see', '02034828'), ('02034828', '¬_also_see', '01129977'), ('01129977', '¬_also_see', '02584981')], '02584981')
([('02577061', 'NO_OP', '02577061'), ('02577061', '¬_also_see', '01180695'), ('01180695', 'NO_OP', '01180695')], '01180695')
([('02360448', '¬_also_see', '02523275'), ('02523275', '_also_see', '02360448'), ('02360448', '¬_also_see', '02103481')], '02103481')
([('01589217', '_also_see', '00904548'), ('00904548', '_also_see', '02588099'), ('02588099', '_also_see', '01227137')], '01227137')
([('00362467', 'NO_OP', '00362467'), ('00362467', 'NO_OP', '00362467'), ('00362467', '¬_also_see', '01148283')], '01148283')
([('01740892', '¬_also_see', '02512922'), ('02512922', 'NO_OP', '02512922'), ('02512922', '_derivationally_related_form', '01242716')], '02512922')
([('01395617', '¬_also_see', '02318464'), ('02318464', '¬_also_see', '01222360'), ('01222360', '¬_also_see', '01115349')], '02318464')
([('01947266', '¬_also_see', '00849357'), ('00849357', '¬_derivationally_related_form', '04812268'), ('04812268', 'NO_OP', '04812268')], '00849357')
([('01824751', '¬_also_see', '01827535'), ('01827535', '¬_also_see', '01824751'), ('01824751', '_derivationally_related_form', '05204637')], '01827535')
([('02040652', '¬_also_see', '02043898'), ('02043898', '_also_see', '00986027'), ('00986027', '¬_also_see', '02043898')], '02043898')
([('01369663', '¬_derivationally_related_form', '04850117'), ('04850117', '_derivationally_related_form', '01369663'), ('01369663', '¬_also_see', '00956131')], '00956131')
([('00191603', '¬_also_see', '00571643'), ('00571643', '_derivationally_related_form', '05678932'), ('05678932', '_hypernym', '05669934')], '00571643')
([('00289365', '¬_also_see', '02273326'), ('02273326', '_also_see', '01170243'), ('01170243', '_derivationally_related_form', '14049711')], '02273326')
([('00900616', '¬_also_see', '00655779'), ('00655779', 'NO_OP', '00655779'), ('00655779', '_also_see', '00900616')], '00655779')
([('00921014', '¬_also_see', '02131072'), ('02131072', '_also_see', '00921014'), ('00921014', 'NO_OP', '00921014')], '02131072')
([('01908039', '¬_also_see', '00427786'), ('00427786', '¬_derivationally_related_form', '14487184'), ('14487184', '¬_hypernym', '14487731')], '00427786')
([('00191603', 'NO_OP', '00191603'), ('00191603', '¬_also_see', '02102796'), ('02102796', '_also_see', '00191603')], '02102796')
([('02326695', '_also_see', '02451951'), ('02451951', '¬_also_see', '01613463'), ('01613463', '¬_also_see', '01475282')], '01613463')
([('02094755', '_also_see', '01886407'), ('01886407', '_also_see', '02523275'), ('02523275', '_also_see', '01886407')], '02523275')
([('00701479', '¬_also_see', '00781168'), ('00781168', '_also_see', '00430191'), ('00430191', '¬_also_see', '00701479')], '00781168')
([('01749320', '¬_also_see', '00289365'), ('00289365', '¬_also_see', '01749320'), ('01749320', '¬_also_see', '00914421')], '00289365')
([('02080577', '_derivationally_related_form', '04792127'), ('04792127', '¬_hypernym', '04792357'), ('04792357', '_derivationally_related_form', '00051045')], '00051045')
([('01754421', '¬_derivationally_related_form', '05053688'), ('05053688', '_derivationally_related_form', '01754421'), ('01754421', '¬_also_see', '02290998')], '02290998')
([('00493460', '¬_also_see', '02109678'), ('02109678', 'NO_OP', '02109678'), ('02109678', 'NO_OP', '02109678')], '02109678')
([('02561888', '_derivationally_related_form', '09365863'), ('09365863', '¬_derivationally_related_form', '02561888'), ('02561888', '¬_also_see', '02412164')], '02412164')
([('00781168', '¬_also_see', '00701479'), ('00701479', '¬_derivationally_related_form', '04757864'), ('04757864', '¬_derivationally_related_form', '00740336')], '00701479')
([('00571643', '¬_also_see', '02102796'), ('02102796', '_also_see', '02105375'), ('02105375', '_also_see', '02102796')], '02102796')
([('00835609', '_derivationally_related_form', '05207963'), ('05207963', '¬_derivationally_related_form', '00835609'), ('00835609', '¬_also_see', '01827535')], '01827535')
([('02166346', '¬_also_see', '02174896'), ('02174896', 'NO_OP', '02174896'), ('02174896', '_also_see', '02166346')], '02174896')
([('01489722', '¬_also_see', '01646941'), ('01646941', '_also_see', '02100709'), ('02100709', '_derivationally_related_form', '10227266')], '01646941')
([('02161432', '¬_also_see', '01275562'), ('01275562', '_also_see', '02500884'), ('02500884', '_also_see', '01275562')], '01275562')
([('01932973', '_also_see', '01115349'), ('01115349', '_also_see', '02179279'), ('02179279', '¬_also_see', '01115349')], '02179279')
([('02131072', '¬_also_see', '00921014'), ('00921014', '¬_also_see', '01343918'), ('01343918', 'NO_OP', '01343918')], '00921014')
([('02102484', '¬_also_see', '02103481'), ('02103481', '_derivationally_related_form', '05019661'), ('05019661', 'NO_OP', '05019661')], '02103481')
([('02331262', 'NO_OP', '02331262'), ('02331262', '¬_also_see', '01865197'), ('01865197', '_derivationally_related_form', '05147940')], '01865197')
([('01549291', '_also_see', '01131043'), ('01131043', '¬_also_see', '02037272'), ('02037272', '¬_also_see', '01549291')], '02037272')
([('02109678', '¬_also_see', '00727564'), ('00727564', '¬_derivationally_related_form', '13994148'), ('13994148', '¬_hypernym', '13993356')], '00727564')
([('01129977', '¬_also_see', '01123148'), ('01123148', '_also_see', '00227507'), ('00227507', '¬_also_see', '00504592')], '01123148')
([('02324397', '¬_also_see', '01827535'), ('01827535', '¬_also_see', '02324397'), ('02324397', '_derivationally_related_form', '05040275')], '01827535')
([('01740892', '¬_also_see', '01246579'), ('01246579', '_also_see', '01740892'), ('01740892', 'NO_OP', '01740892')], '01246579')
