WN18RR, _derivationally_related_form_WN18_generic_PPO_simple_embedding_100
([('02294436', '¬_derivationally_related_form', '01083504'), ('01083504', '_derivationally_related_form', '00081072'), ('00081072', '_derivationally_related_form', '13285714')], '13285714')
([('00156276', 'NO_OP', '00156276'), ('00156276', '¬_derivationally_related_form', '15274441'), ('15274441', '_derivationally_related_form', '00245059')], '15274441')
([('02638444', 'NO_OP', '02638444'), ('02638444', 'NO_OP', '02638444'), ('02638444', '¬_derivationally_related_form', '10737103')], '10737103')
([('02230990', '¬_derivationally_related_form', '04948722'), ('04948722', '_hypernym', '04948241'), ('04948241', '_derivationally_related_form', '02238462')], '04948722')
([('00798717', '¬_derivationally_related_form', '09754541'), ('09754541', '¬_derivationally_related_form', '00798717'), ('00798717', '¬_derivationally_related_form', '07206096')], '09754541')
([('01225397', '¬_derivationally_related_form', '01810447'), ('01810447', '_derivationally_related_form', '07306252'), ('07306252', '_derivationally_related_form', '01810447')], '01810447')
([('03271574', '¬_derivationally_related_form', '02100632'), ('02100632', '_derivationally_related_form', '02855089'), ('02855089', 'NO_OP', '02855089')], '02100632')
([('02547046', '¬_derivationally_related_form', '06706676'), ('06706676', '_derivationally_related_form', '02547046'), ('02547046', 'NO_OP', '02547046')], '06706676')
([('05953416', 'NO_OP', '05953416'), ('05953416', '¬_derivationally_related_form', '02739861'), ('02739861', 'NO_OP', '02739861')], '02739861')
([('00680841', '¬_derivationally_related_form', '06196584'), ('06196584', '¬_hypernym', '06197664'), ('06197664', '_hypernym', '06196584')], '06196584')
([('10648696', 'NO_OP', '10648696'), ('10648696', '¬_derivationally_related_form', '02631349'), ('02631349', 'NO_OP', '02631349')], '02631349')
([('00619869', '¬_derivationally_related_form', '05895723'), ('05895723', '_derivationally_related_form', '00617748'), ('00617748', '¬_derivationally_related_form', '00073828')], '05895723')
([('10684146', '¬_derivationally_related_form', '01411630'), ('01411630', '_hypernym', '01411085'), ('01411085', '_derivationally_related_form', '00134574')], '01411630')
