FB15K-237, film_genre_FB_PPO_distance_22
([('/m/04jwjq', '/award/award_winning_work/awards_won./award/award_honor/award_winner', '/m/099ks0'), ('/m/099ks0', '/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/01p3ty'), ('/m/01p3ty', '/film/film/genre', '/m/03q4nz')], '/m/03q4nz')
([('/m/0c9k8', '¬/media_common/netflix_genre/titles', '/m/017fp'), ('/m/017fp', '/media_common/netflix_genre/titles', '/m/01gvpz'), ('/m/01gvpz', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/054krc')], '/m/017fp')
([('/m/048xyn', '¬/media_common/netflix_genre/titles', '/m/017fp'), ('/m/017fp', '/media_common/netflix_genre/titles', '/m/02rx2m5'), ('/m/02rx2m5', '¬/film/actor/film./film/performance/film', '/m/0315q3')], '/m/017fp')
([('/m/0f40w', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/02r96rf'), ('/m/02r96rf', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/0443v1'), ('/m/0443v1', '/film/film/genre', '/m/01jfsb')], '/m/01jfsb')
([('/m/046488', '/film/film/genre', '/m/03g3w'), ('/m/03g3w', '¬/film/film/genre', '/m/05z43v'), ('/m/05z43v', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/03y0pn', '¬/media_common/netflix_genre/titles', '/m/03k9fj'), ('/m/03k9fj', '¬/film/film/genre', '/m/09fqgj'), ('/m/09fqgj', '¬/film/actor/film./film/performance/film', '/m/01v42g')], '/m/03k9fj')
([('/m/05pbl56', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/01xy5l_'), ('/m/01xy5l_', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/051ys82'), ('/m/051ys82', '¬/media_common/netflix_genre/titles', '/m/01jfsb')], '/m/01jfsb')
([('/m/03459x', '/film/film/music', '/m/05_pkf'), ('/m/05_pkf', '¬/film/film/music', '/m/028cg00'), ('/m/028cg00', '/film/film/genre', '/m/03npn')], '/m/03npn')
([('/m/05_5rjx', '¬/media_common/netflix_genre/titles', '/m/02n4kr'), ('/m/02n4kr', '¬/film/film/genre', '/m/04mzf8'), ('/m/04mzf8', '/film/film/cinematography', '/m/05_2h8')], '/m/02n4kr')
([('/m/05z43v', '¬/media_common/netflix_genre/titles', '/m/03mqtr'), ('/m/03mqtr', '/media_common/netflix_genre/titles', '/m/011yth'), ('/m/011yth', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/02nxhr')], '/m/03mqtr')
([('/m/08tq4x', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '/media_common/netflix_genre/titles', '/m/093dqjy'), ('/m/093dqjy', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/02_n3z')], '/m/07s9rl0')
([('/m/03cvwkr', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/06zsk51'), ('/m/06zsk51', '/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor', '/m/01kwsg')], '/m/07s9rl0')
([('/m/0kb1g', '¬/media_common/netflix_genre/titles', '/m/017fp'), ('/m/017fp', '/media_common/netflix_genre/titles', '/m/02vnmc9'), ('/m/02vnmc9', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_')], '/m/017fp')
([('/m/0kv9d3', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '/media_common/netflix_genre/titles', '/m/03cvvlg'), ('/m/03cvvlg', '/film/film/cinematography', '/m/04qvl7')], '/m/04xvlr')
([('/m/0gy0n', '¬/media_common/netflix_genre/titles', '/m/02n4kr'), ('/m/02n4kr', '¬/film/film/genre', '/m/0ktpx'), ('/m/0ktpx', '¬/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/05_2h8')], '/m/02n4kr')
([('/m/0f4k49', '¬/media_common/netflix_genre/titles', '/m/03k9fj'), ('/m/03k9fj', '¬/film/film/genre', '/m/02ll45'), ('/m/02ll45', '/award/award_winning_work/awards_won./award/award_honor/award_winner', '/m/02sjp')], '/m/03k9fj')
([('/m/04w7rn', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_'), ('/m/029j_', '¬/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/05pdd86'), ('/m/05pdd86', '/film/film/genre', '/m/01hmnh')], '/m/01hmnh')
([('/m/0fsd9t', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/09zzb8'), ('/m/09zzb8', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/041td_'), ('/m/041td_', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/01k0xy', '/film/film/language', '/m/02h40lc'), ('/m/02h40lc', '¬/film/film/language', '/m/0dq626'), ('/m/0dq626', '/film/film/genre', '/m/02l7c8')], '/m/02l7c8')
([('/m/08rr3p', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/tv/tv_program/genre', '/m/06r4f'), ('/m/06r4f', '¬/tv/tv_producer/programs_produced./tv/tv_producer_term/program', '/m/08qmfm')], '/m/07s9rl0')
([('/m/0270k40', '/film/film/country', '/m/09c7w0'), ('/m/09c7w0', '¬/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/029k4p'), ('/m/029k4p', '¬/media_common/netflix_genre/titles', '/m/03npn')], '/m/03npn')
([('/m/0gndh', '¬/media_common/netflix_genre/titles', '/m/03k9fj'), ('/m/03k9fj', '/media_common/netflix_genre/titles', '/m/033srr'), ('/m/033srr', '/film/film/genre', '/m/02kdv5l')], '/m/03k9fj')
([('/m/0g0x9c', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '/media_common/netflix_genre/titles', '/m/011ywj'), ('/m/011ywj', '/award/award_winning_work/awards_won./award/award_honor/award_winner', '/m/01ksr1')], '/m/04xvlr')
([('/m/0g4vmj8', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0chghy'), ('/m/0chghy', '¬/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0j3d9tn'), ('/m/0j3d9tn', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/0p_tz', '/film/film/language', '/m/02bjrlw'), ('/m/02bjrlw', '¬/film/film/language', '/m/03hfmm'), ('/m/03hfmm', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/0473rc', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/0gs973'), ('/m/0gs973', '/film/film/genre', '/m/07s9rl0')], '/m/01hmnh')
([('/m/0symg', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/0m2kd'), ('/m/0m2kd', '¬/film/actor/film./film/performance/film', '/m/01gkmx')], '/m/04xvlr')
([('/m/060v34', '¬/media_common/netflix_genre/titles', '/m/03npn'), ('/m/03npn', '¬/film/film/genre', '/m/03459x'), ('/m/03459x', '/film/film/genre', '/m/03k9fj')], '/m/03npn')
([('/m/0y_yw', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/02yy9r'), ('/m/02yy9r', '/film/film/genre', '/m/02n4kr')], '/m/07s9rl0')
([('/m/0992d9', '/film/film/genre', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/02pcq92'), ('/m/02pcq92', '¬/media_common/netflix_genre/titles', '/m/09blyk')], '/m/09blyk')
([('/m/0cnztc4', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '/media_common/netflix_genre/titles', '/m/0_9wr'), ('/m/0_9wr', '¬/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/02pby8')], '/m/07s9rl0')
([('/m/01q2nx', '/film/film/genre', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/0fqt1ns'), ('/m/0fqt1ns', '/film/film/genre', '/m/06n90')], '/m/06n90')
([('/m/0dzz6g', '¬/media_common/netflix_genre/titles', '/m/017fp'), ('/m/017fp', '¬/film/film/genre', '/m/02prw4h'), ('/m/02prw4h', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/09vw2b7')], '/m/017fp')
([('/m/011ysn', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/04x4gw'), ('/m/04x4gw', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02g3v6')], '/m/07s9rl0')
([('/m/027rpym', '¬/media_common/netflix_genre/titles', '/m/04t36'), ('/m/04t36', '/media_common/netflix_genre/titles', '/m/017kct'), ('/m/017kct', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_')], '/m/04t36')
([('/m/05wp1p', '/film/film/genre', '/m/01hmnh'), ('/m/01hmnh', '/media_common/netflix_genre/titles', '/m/0436yk'), ('/m/0436yk', '/film/film/genre', '/m/0hcr')], '/m/0hcr')
([('/m/026gyn_', '¬/media_common/netflix_genre/titles', '/m/03mqtr'), ('/m/03mqtr', '/media_common/netflix_genre/titles', '/m/0c9k8'), ('/m/0c9k8', '/award/award_winning_work/awards_won./award/award_honor/award', '/m/0gs9p')], '/m/03mqtr')
([('/m/0bh8drv', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/06g77c'), ('/m/06g77c', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/05sw5b', '¬/media_common/netflix_genre/titles', '/m/09b3v'), ('/m/09b3v', '¬/film/film/production_companies', '/m/06y611'), ('/m/06y611', '/film/film/genre', '/m/05p553')], '/m/05p553')
([('/m/0cc5mcj', '/film/film/genre', '/m/082gq'), ('/m/082gq', '¬/film/film/genre', '/m/04gknr'), ('/m/04gknr', '/film/film/genre', '/m/01jfsb')], '/m/01jfsb')
([('/m/02hfk5', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/0215hd'), ('/m/0215hd', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/0462hhb'), ('/m/0462hhb', '¬/media_common/netflix_genre/titles', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/02p86pb', '¬/media_common/netflix_genre/titles', '/m/03mqtr'), ('/m/03mqtr', '/media_common/netflix_genre/titles', '/m/03p2xc'), ('/m/03p2xc', '¬/film/actor/film./film/performance/film', '/m/01gkmx')], '/m/03mqtr')
([('/m/0yxf4', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/02w9k1c'), ('/m/02w9k1c', '/film/film/executive_produced_by', '/m/02z2xdf')], '/m/07s9rl0')
([('/m/02qhlwd', '/film/film/genre', '/m/02qfv5d'), ('/m/02qfv5d', '/media_common/netflix_genre/titles', '/m/016kv6'), ('/m/016kv6', '/film/film/genre', '/m/082gq')], '/m/082gq')
([('/m/0jym0', 'NO_OP', '/m/0jym0'), ('/m/0jym0', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/03cp4cn')], '/m/04xvlr')
([('/m/02vw1w2', '¬/film/actor/film./film/performance/film', '/m/02h8hr'), ('/m/02h8hr', '¬/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor', '/m/03d3ht'), ('/m/03d3ht', '/tv/tv_program/genre', '/m/06n90')], '/m/06n90')
([('/m/059rc', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/0bq6ntw'), ('/m/0bq6ntw', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/035qy')], '/m/01jfsb')
([('/m/0hmr4', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_'), ('/m/029j_', '¬/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/0bbw2z6'), ('/m/0bbw2z6', '/film/film/genre', '/m/02l7c8')], '/m/02l7c8')
([('/m/097zcz', '/award/award_winning_work/awards_won./award/award_honor/award', '/m/0gqyl'), ('/m/0gqyl', '/award/award_category/nominees./award/award_nomination/nominated_for', '/m/0hvvf'), ('/m/0hvvf', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/01xlqd', '/film/film/genre', '/m/0hn10'), ('/m/0hn10', '¬/film/film/genre', '/m/0c0zq'), ('/m/0c0zq', '/film/film/genre', '/m/02l7c8')], '/m/02l7c8')
([('/m/03t95n', '¬/film/film/prequel', '/m/03t97y'), ('/m/03t97y', '/film/film/genre', '/m/03k9fj'), ('/m/03k9fj', '¬/film/film/genre', '/m/0f4yh')], '/m/03k9fj')
([('/m/075cph', '¬/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/0j_c'), ('/m/0j_c', '/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/02r_pp'), ('/m/02r_pp', '/film/film/genre', '/m/01jfsb')], '/m/01jfsb')
([('/m/0j8f09z', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/0gr4k'), ('/m/0gr4k', '/award/award_category/nominees./award/award_nomination/nominated_for', '/m/04wddl'), ('/m/04wddl', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/02r858_', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02qwdhq'), ('/m/02qwdhq', '/award/award_category/nominees./award/award_nomination/nominated_for', '/m/06kl78'), ('/m/06kl78', '¬/media_common/netflix_genre/titles', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/0mb8c', '¬/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/03x_k5m'), ('/m/03x_k5m', '/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/03f7xg'), ('/m/03f7xg', '/film/film/genre', '/m/01jfsb')], '/m/01jfsb')
([('/m/06rhz7', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/0n_hp'), ('/m/0n_hp', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/02ynfr')], '/m/07s9rl0')
([('/m/043n0v_', '/film/film/genre', '/m/03bxz7'), ('/m/03bxz7', '¬/film/film/genre', '/m/0170xl'), ('/m/0170xl', '¬/media_common/netflix_genre/titles', '/m/04xvlr')], '/m/04xvlr')
([('/m/02rlj20', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/04x4gw'), ('/m/04x4gw', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/03hkv_r')], '/m/04xvlr')
([('/m/01bl7g', '¬/media_common/netflix_genre/titles', '/m/04t2t'), ('/m/04t2t', '/media_common/netflix_genre/titles', '/m/05t0_2v'), ('/m/05t0_2v', '/film/film/genre', '/m/04t2t')], '/m/04t2t')
([('/m/0_816', '¬/media_common/netflix_genre/titles', '/m/04xvlr'), ('/m/04xvlr', '¬/film/film/genre', '/m/04pmnt'), ('/m/04pmnt', '¬/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/024rgt')], '/m/04xvlr')
([('/m/08mg_b', '¬/media_common/netflix_genre/titles', '/m/0hfjk'), ('/m/0hfjk', '/media_common/netflix_genre/titles', '/m/06zsk51'), ('/m/06zsk51', '¬/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/01j5ts')], '/m/0hfjk')
