WN18RR, _has_part_WN18_generic_PPO_simple_embedding_100
([('13652994', '_hypernym', '13603305'), ('13603305', '¬_hypernym', '13650921'), ('13650921', '_has_part', '13650447')], '13650447')
([('09503877', '_hypernym', '00007347'), ('00007347', '¬_hypernym', '09504915'), ('09504915', '¬_has_part', '09503877')], '09504915')
([('03908204', '_has_part', '03974215'), ('03974215', '_derivationally_related_form', '00392960'), ('00392960', '¬_derivationally_related_form', '13902482')], '13902482')
([('08845555', '_has_part', '09194357'), ('09194357', 'NO_OP', '09194357'), ('09194357', '_has_part', '09464652')], '09464652')
([('00501080', '_has_part', '00500449'), ('00500449', '¬_has_part', '00499924'), ('00499924', '_has_part', '00500280')], '00500280')
([('09109444', '¬_has_part', '09044862'), ('09044862', '_has_part', '09138935'), ('09138935', '_has_part', '08502797')], '08502797')
([('00490569', '¬_synset_domain_topic_of', '06737112'), ('06737112', '¬_has_part', '00490569'), ('00490569', '_has_part', '07474645')], '06737112')
([('04105893', '_has_part', '04546855'), ('04546855', '¬_has_part', '03479952'), ('03479952', '_has_part', '03365592')], '03365592')
([('15203565', '_has_part', '15226046'), ('15226046', '_hypernym', '15225249'), ('15225249', '¬_hypernym', '15226046')], '15225249')
([('13727209', 'NO_OP', '13727209'), ('13727209', '_hypernym', '13609507'), ('13609507', '¬_hypernym', '13726947')], '13726947')
([('02325366', '_hypernym', '02324045'), ('02324045', '¬_derivationally_related_form', '01142761'), ('01142761', '_derivationally_related_form', '07666521')], '07666521')
([('08847694', '_has_part', '08995515'), ('08995515', 'NO_OP', '08995515'), ('08995515', '¬_has_part', '08993288')], '08993288')
([('13722522', '_hypernym', '13716878'), ('13716878', '¬_hypernym', '13722340'), ('13722340', '_has_part', '13722060')], '13722340')
([('09211266', '_has_part', '09235244'), ('09235244', '¬_has_part', '09235469'), ('09235469', '¬_has_part', '08832691')], '09235469')
([('15141213', '_hypernym', '15113229'), ('15113229', '¬_hypernym', '15205532'), ('15205532', '_has_part', '15204983')], '15205532')
([('08813978', '_has_part', '09460888'), ('09460888', 'NO_OP', '09460888'), ('09460888', '¬_has_part', '09236423')], '09236423')
([('13721177', '_hypernym', '13716084'), ('13716084', '¬_hypernym', '13720852'), ('13720852', 'NO_OP', '13720852')], '13720852')
([('02933112', '_hypernym', '03405725'), ('03405725', '¬_hypernym', '02912065'), ('02912065', '_has_part', '04190052')], '04190052')
([('04405907', '¬_has_part', '04404412'), ('04404412', '_has_part', '02985137'), ('02985137', '¬_hypernym', '03617594')], '03617594')
([('09050244', '_member_meronym', '09090825'), ('09090825', '_instance_hypernym', '08655464'), ('08655464', '¬_hypernym', '09049909')], '09049909')
([('09033333', '¬_member_meronym', '08172103'), ('08172103', '_member_meronym', '08913434'), ('08913434', '_has_part', '09038990')], '09038990')
([('06149484', '¬_synset_domain_topic_of', '05994935'), ('05994935', 'NO_OP', '05994935'), ('05994935', 'NO_OP', '05994935')], '05994935')
([('09192280', '¬_has_part', '09055015'), ('09055015', '_has_part', '09349425'), ('09349425', '_instance_hypernym', '09360122')], '09349425')
([('00490569', '_has_part', '06737394'), ('06737394', '_hypernym', '06737112'), ('06737112', 'NO_OP', '06737112')], '06737112')
([('13624705', '¬_has_part', '13624873'), ('13624873', '_hypernym', '13616054'), ('13616054', '¬_hypernym', '13624509')], '13624509')
([('05513807', 'NO_OP', '05513807'), ('05513807', '_has_part', '05524615'), ('05524615', '¬_has_part', '05514905')], '05514905')
([('02764044', '_has_part', '02848216'), ('02848216', '¬_has_part', '04373894'), ('04373894', '_has_part', '03474896')], '03474896')
([('08967329', '¬_derivationally_related_form', '03084759'), ('03084759', 'NO_OP', '03084759'), ('03084759', '_derivationally_related_form', '08967484')], '08967484')
([('04494204', '_has_part', '03458552'), ('03458552', '_hypernym', '03274796'), ('03274796', '¬_hypernym', '03458552')], '03274796')
([('00003553', '_has_part', '03892891'), ('03892891', '¬_hypernym', '04164989'), ('04164989', 'NO_OP', '04164989')], '04164989')
