COUNTRIES, countries-1
([('france', 'neighborOf', 'belgium'), ('belgium', 'neighborOf', 'germany'), ('germany', '¬neighborOf', 'belgium'), ('belgium', 'locatedIn', 'europe'), ('europe', '¬locatedIn', 'vatican_city')], 'europe')
([('finland', '¬neighborOf', 'sweden'), ('sweden', 'neighborOf', 'norway'), ('norway', 'neighborOf', 'finland'), ('finland', '¬neighborOf', 'norway'), ('norway', '¬neighborOf', 'russia')], 'norway')
([('egypt', 'NO_OP', 'egypt'), ('egypt', 'locatedIn', 'northern_africa'), ('northern_africa', '¬locatedIn', 'tunisia'), ('tunisia', 'neighborOf', 'libya'), ('libya', 'locatedIn', 'northern_africa')], 'libya')
([('dr_congo', 'NO_OP', 'dr_congo'), ('dr_congo', 'neighborOf', 'central_african_republic'), ('central_african_republic', 'neighborOf', 'south_sudan'), ('south_sudan', '¬neighborOf', 'uganda'), ('uganda', 'neighborOf', 'kenya')], 'uganda')
([('france', 'neighborOf', 'germany'), ('germany', '¬neighborOf', 'denmark'), ('denmark', 'neighborOf', 'germany'), ('germany', 'neighborOf', 'luxembourg'), ('luxembourg', '¬neighborOf', 'germany')], 'luxembourg')
([('barbados', 'locatedIn', 'americas'), ('americas', '¬locatedIn', 'martinique'), ('martinique', 'locatedIn', 'americas'), ('americas', '¬locatedIn', 'saint_barthelemy'), ('saint_barthelemy', 'locatedIn', 'caribbean')], 'caribbean')
([('martinique', 'locatedIn', 'americas'), ('americas', '¬locatedIn', 'trinidad_and_tobago'), ('trinidad_and_tobago', 'locatedIn', 'caribbean'), ('caribbean', '¬locatedIn', 'jamaica'), ('jamaica', 'locatedIn', 'americas')], 'caribbean')
([('venezuela', 'NO_OP', 'venezuela'), ('venezuela', '¬neighborOf', 'guyana'), ('guyana', 'locatedIn', 'south_america'), ('south_america', '¬locatedIn', 'brazil'), ('brazil', 'locatedIn', 'south_america')], 'guyana')
([('pakistan', '¬neighborOf', 'iran'), ('iran', 'neighborOf', 'pakistan'), ('pakistan', 'neighborOf', 'afghanistan'), ('afghanistan', '¬neighborOf', 'iran'), ('iran', 'locatedIn', 'southern_asia')], 'southern_asia')
([('solomon_islands', 'locatedIn', 'melanesia'), ('melanesia', '¬locatedIn', 'new_caledonia'), ('new_caledonia', 'locatedIn', 'oceania'), ('oceania', '¬locatedIn', 'kiribati'), ('kiribati', 'locatedIn', 'micronesia')], 'oceania')
([('france', 'neighborOf', 'luxembourg'), ('luxembourg', 'neighborOf', 'belgium'), ('belgium', 'neighborOf', 'germany'), ('germany', '¬neighborOf', 'switzerland'), ('switzerland', 'neighborOf', 'liechtenstein')], 'belgium')
