WN18RR, _hypernym_WN18_generic_PPO_simple_embedding_100
([('02851099', '¬_derivationally_related_form', '01130169'), ('01130169', '_derivationally_related_form', '04192858'), ('04192858', '_hypernym', '04014297')], '04014297')
([('09224325', '¬_has_part', '09201301'), ('09201301', '_has_part', '09293917'), ('09293917', '_instance_hypernym', '09403734')], '09403734')
([('12428915', '¬_member_meronym', '12423565'), ('12423565', '_member_meronym', '12454021'), ('12454021', '_hypernym', '11561228')], '11561228')
([('07491038', '¬_derivationally_related_form', '01815628'), ('01815628', '¬_derivationally_related_form', '07490713'), ('07490713', '¬_hypernym', '07491708')], '07490713')
([('09153570', '_instance_hypernym', '08638442'), ('08638442', '¬_instance_hypernym', '09100982'), ('09100982', '_instance_hypernym', '08665504')], '08665504')
([('08986526', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08971404'), ('08971404', '_instance_hypernym', '08524735')], '08524735')
([('01062997', '_derivationally_related_form', '00779061'), ('00779061', '_derivationally_related_form', '01062817'), ('01062817', '_derivationally_related_form', '00779061')], '01062817')
([('01945381', 'NO_OP', '01945381'), ('01945381', '¬_derivationally_related_form', '00315390'), ('00315390', '¬_derivationally_related_form', '01944692')], '01944692')
([('10282482', '¬_derivationally_related_form', '15147330'), ('15147330', '_derivationally_related_form', '10129825'), ('10129825', '¬_hypernym', '10247358')], '10129825')
([('01699346', '_synset_domain_topic_of', '00929718'), ('00929718', '¬_synset_domain_topic_of', '01698271'), ('01698271', '¬_hypernym', '01701311')], '01698271')
([('07262579', 'NO_OP', '07262579'), ('07262579', '¬_derivationally_related_form', '00921300'), ('00921300', '_derivationally_related_form', '06791372')], '06791372')
([('05484862', '_has_part', '05484711'), ('05484711', '_hypernym', '05329735'), ('05329735', '¬_hypernym', '05331171')], '05329735')
([('10564800', '_derivationally_related_form', '02463990'), ('02463990', '_hypernym', '02463704'), ('02463704', '¬_derivationally_related_form', '10608385')], '10608385')
([('00244625', '¬_derivationally_related_form', '06468123'), ('06468123', 'NO_OP', '06468123'), ('06468123', '_derivationally_related_form', '00243900')], '00243900')
([('12916356', '¬_member_meronym', '12914433'), ('12914433', '_member_meronym', '12916025'), ('12916025', '_hypernym', '11579418')], '11579418')
([('02792305', '_derivationally_related_form', '01670315'), ('01670315', '¬_derivationally_related_form', '02955540'), ('02955540', 'NO_OP', '02955540')], '02955540')
([('12131216', '¬_member_meronym', '12100538'), ('12100538', '_member_meronym', '12126238'), ('12126238', '_hypernym', '11556857')], '11556857')
([('01913532', 'NO_OP', '01913532'), ('01913532', '¬_derivationally_related_form', '13534274'), ('13534274', '_derivationally_related_form', '01457954')], '01457954')
([('13730054', '¬_hypernym', '13730189'), ('13730189', 'NO_OP', '13730189'), ('13730189', '¬_has_part', '13729428')], '13729428')
([('08983742', '¬_has_part', '08982587'), ('08982587', '_has_part', '08983413'), ('08983413', '_instance_hypernym', '08524735')], '08524735')
([('15212455', '¬_has_part', '15174218'), ('15174218', '_has_part', '15209706'), ('15209706', '¬_hypernym', '15211806')], '15209706')
