WN18RR, _instance_hypernym_WN18_generic_PPO_simple_embedding_100
([('09087450', '¬_has_part', '09086173'), ('09086173', '_has_part', '09086635'), ('09086635', '_instance_hypernym', '08524735')], '08524735')
([('09062320', '¬_has_part', '09060768'), ('09060768', '_has_part', '09065557'), ('09065557', '_instance_hypernym', '08524735')], '08524735')
([('08959495', '_instance_hypernym', '08691669'), ('08691669', '¬_instance_hypernym', '08948704'), ('08948704', '_instance_hypernym', '08633957')], '08633957')
([('15126175', '_has_part', '15126750'), ('15126750', '_instance_hypernym', '15247518'), ('15247518', '¬_has_part', '15248020')], '15248020')
([('08921392', '¬_has_part', '08920381'), ('08920381', '_instance_hypernym', '09203827'), ('09203827', '_member_meronym', '09316454')], '09316454')
([('15231415', '¬_has_part', '15254550'), ('15254550', '_hypernym', '15113229'), ('15113229', '¬_hypernym', '15273626')], '15113229')
([('15232406', '¬_has_part', '15231964'), ('15231964', '_has_part', '15233239'), ('15233239', '_instance_hypernym', '15113229')], '15113229')
([('08746636', '¬_has_part', '08740875'), ('08740875', '_has_part', '08744750'), ('08744750', '_instance_hypernym', '08524735')], '08524735')
([('08813264', '¬_has_part', '08812952'), ('08812952', '_has_part', '08813156'), ('08813156', '_instance_hypernym', '08524735')], '08524735')
([('08022972', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08037118'), ('08037118', '_instance_hypernym', '08392137')], '08392137')
([('15231964', '_has_part', '15233411'), ('15233411', '_instance_hypernym', '15113229'), ('15113229', '¬_hypernym', '15224486')], '15113229')
([('09102517', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08924023'), ('08924023', '_instance_hypernym', '08524735')], '08524735')
([('08855609', '¬_has_part', '08853741'), ('08853741', '_has_part', '08856266'), ('08856266', '_instance_hypernym', '08524735')], '08524735')
([('08857099', '¬_has_part', '08853741'), ('08853741', '_has_part', '08856266'), ('08856266', '_instance_hypernym', '08524735')], '08524735')
([('08842819', '¬_has_part', '08836630'), ('08836630', '_instance_hypernym', '09203827'), ('09203827', '¬_instance_hypernym', '08747737')], '09203827')
([('08974604', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08743945'), ('08743945', '_instance_hypernym', '08524735')], '08524735')
([('08804962', '¬_has_part', '08801678'), ('08801678', '_has_part', '08810358'), ('08810358', '_instance_hypernym', '08803382')], '08803382')
([('08745901', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08856630'), ('08856630', '_instance_hypernym', '08524735')], '08524735')
([('01279120', '¬_has_part', '01302086'), ('01302086', '_has_part', '01283935'), ('01283935', '_instance_hypernym', '00956485')], '00956485')
([('08013845', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08013176'), ('08013176', '_instance_hypernym', '08392137')], '08392137')
([('09124589', '¬_has_part', '09117351'), ('09117351', '_has_part', '09125203'), ('09125203', '_instance_hypernym', '08524735')], '08524735')
([('08935212', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08849372'), ('08849372', '_instance_hypernym', '08524735')], '08524735')
([('08950649', '¬_has_part', '08949093'), ('08949093', '_has_part', '08950230'), ('08950230', '_instance_hypernym', '08524735')], '08524735')
([('15128997', '¬_has_part', '15128711'), ('15128711', '_instance_hypernym', '15243730'), ('15243730', '_has_part', '15248020')], '15243730')
([('08027920', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08392137'), ('08392137', '¬_instance_hypernym', '08019913')], '08392137')
([('04512476', '¬_member_meronym', '08232706'), ('08232706', '_member_meronym', '02907985'), ('02907985', '_instance_hypernym', '04511002')], '04511002')
([('08964099', '_has_part', '08964474'), ('08964474', '_instance_hypernym', '08552138'), ('08552138', '¬_derivationally_related_form', '02812482')], '08552138')
([('08873269', '¬_has_part', '08871007'), ('08871007', '_has_part', '08879197'), ('08879197', '_instance_hypernym', '08524735')], '08524735')
([('08727003', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08935212'), ('08935212', '_instance_hypernym', '08633957')], '08633957')
([('09042213', '¬_has_part', '09039411'), ('09039411', '_has_part', '09041785'), ('09041785', '_instance_hypernym', '08524735')], '08524735')
([('08878016', '¬_has_part', '08871007'), ('08871007', '_has_part', '08873269'), ('08873269', '_instance_hypernym', '08524735')], '08524735')
([('09107098', '¬_has_part', '09105821'), ('09105821', '_has_part', '09108055'), ('09108055', '_instance_hypernym', '08524735')], '08524735')
([('08924238', '¬_has_part', '08920924'), ('08920924', '_has_part', '08924023'), ('08924023', '_instance_hypernym', '08524735')], '08524735')
([('08851830', '¬_has_part', '08849753'), ('08849753', '_has_part', '08851687'), ('08851687', '_instance_hypernym', '08524735')], '08524735')
([('08021129', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08392137'), ('08392137', '¬_instance_hypernym', '08039601')], '08392137')
([('08812399', '¬_has_part', '08801678'), ('08801678', '_has_part', '08812952'), ('08812952', '_instance_hypernym', '08803382')], '08803382')
([('01273735', '¬_has_part', '01302086'), ('01302086', '_has_part', '01294127'), ('01294127', '_instance_hypernym', '00956485')], '00956485')
([('08849372', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08895497'), ('08895497', '_instance_hypernym', '08524735')], '08524735')
([('08751494', '¬_has_part', '08751317'), ('08751317', '_has_part', '08752021'), ('08752021', '_instance_hypernym', '08544813')], '08544813')
([('08855505', '¬_has_part', '08853741'), ('08853741', '_has_part', '08857405'), ('08857405', '_instance_hypernym', '08524735')], '08524735')
([('09242514', '¬_has_part', '09075842'), ('09075842', '_has_part', '09255921'), ('09255921', '_instance_hypernym', '09411430')], '09411430')
([('08943601', '¬_has_part', '08929922'), ('08929922', '_has_part', '08944818'), ('08944818', '_instance_hypernym', '08574314')], '08574314')
([('09077821', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08750822'), ('08750822', '_instance_hypernym', '08633957')], '08633957')
([('08014860', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08041484'), ('08041484', '_instance_hypernym', '08392137')], '08392137')
([('06442239', '¬_has_part', '06453849'), ('06453849', '_has_part', '06441973'), ('06441973', '_instance_hypernym', '06455138')], '06455138')
([('08918248', '¬_has_part', '08913434'), ('08913434', '_has_part', '08918944'), ('08918944', '_instance_hypernym', '08574314')], '08574314')
([('10995292', '¬_derivationally_related_form', '03067506'), ('03067506', '_derivationally_related_form', '10995592'), ('10995592', '_instance_hypernym', '10233445')], '10233445')
([('09020440', '¬_has_part', '09207288'), ('09207288', '_has_part', '09020961'), ('09020961', '_instance_hypernym', '08700255')], '08700255')
([('09113333', '¬_has_part', '09112282'), ('09112282', '_has_part', '09113479'), ('09113479', '_instance_hypernym', '08524735')], '08524735')
([('08793489', '¬_has_part', '08792548'), ('08792548', '_has_part', '08794574'), ('08794574', '_instance_hypernym', '08574314')], '08574314')
([('08851500', '¬_has_part', '08849753'), ('08849753', '_has_part', '08851687'), ('08851687', '_instance_hypernym', '08524735')], '08524735')
([('09138538', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09102517'), ('09102517', '_instance_hypernym', '08524735')], '08524735')
([('08701719', '¬_has_part', '08701942'), ('08701942', '_has_part', '09042924'), ('09042924', '_instance_hypernym', '08574314')], '08574314')
([('11283300', '_instance_hypernym', '10296176'), ('10296176', '¬_instance_hypernym', '10941714'), ('10941714', '_instance_hypernym', '10123844')], '10123844')
([('10837918', '_instance_hypernym', '10022111'), ('10022111', '¬_instance_hypernym', '10815648'), ('10815648', '_instance_hypernym', '09921792')], '09921792')
([('15128997', '¬_has_part', '15128711'), ('15128711', '_instance_hypernym', '15243730'), ('15243730', 'NO_OP', '15243730')], '15243730')
([('01300782', '¬_has_part', '01311520'), ('01311520', '_has_part', '01298573'), ('01298573', '_instance_hypernym', '00956485')], '00956485')
([('08728268', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08934532'), ('08934532', '_instance_hypernym', '08524735')], '08524735')
([('09085334', '¬_has_part', '09084750'), ('09084750', '_has_part', '09085209'), ('09085209', '_instance_hypernym', '08524735')], '08524735')
([('15127307', '_has_part', '15127729'), ('15127729', '_instance_hypernym', '15247518'), ('15247518', '_hypernym', '15116283')], '15247518')
([('08750334', '¬_has_part', '08709038'), ('08709038', '_has_part', '08989031'), ('08989031', '_instance_hypernym', '08544813')], '08544813')
([('08855609', '¬_has_part', '08853741'), ('08853741', '_has_part', '08857260'), ('08857260', '_instance_hypernym', '08524735')], '08524735')
([('06437531', '¬_has_part', '06453324'), ('06453324', '_has_part', '06436717'), ('06436717', '_instance_hypernym', '06394865')], '06394865')
([('08010364', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08028148'), ('08028148', '_instance_hypernym', '08392137')], '08392137')
([('09031061', '_instance_hypernym', '08691669'), ('08691669', '¬_instance_hypernym', '08947617'), ('08947617', '_instance_hypernym', '08633957')], '08633957')
([('11015080', '_instance_hypernym', '09921792'), ('09921792', 'NO_OP', '09921792'), ('09921792', '_hypernym', '10705615')], '10705615')
([('08855505', '¬_has_part', '08853741'), ('08853741', '_has_part', '08857099'), ('08857099', '_instance_hypernym', '08524735')], '08524735')
([('15124545', '¬_has_part', '15124361'), ('15124361', '_instance_hypernym', '15248020'), ('15248020', '_has_part', '15247518')], '15247518')
([('09572425', '_synset_domain_topic_of', '07979425'), ('07979425', '¬_synset_domain_topic_of', '09572825'), ('09572825', '_instance_hypernym', '09551356')], '09551356')
([('03812541', '¬_has_part', '08191987'), ('08191987', '_hypernym', '08337324'), ('08337324', '¬_hypernym', '08191987')], '08337324')
([('08889657', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08937995'), ('08937995', '_instance_hypernym', '08633957')], '08633957')
([('08789605', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09102517'), ('09102517', '_instance_hypernym', '08524735')], '08524735')
([('08035233', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08026904'), ('08026904', '_instance_hypernym', '08392137')], '08392137')
([('09038439', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08892971'), ('08892971', '_instance_hypernym', '08633957')], '08633957')
([('09164903', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '09165146'), ('09165146', '_instance_hypernym', '08633957')], '08633957')
([('08738272', '¬_has_part', '08735705'), ('08735705', '_has_part', '08737716'), ('08737716', '_instance_hypernym', '08703035')], '08703035')
([('08832691', '¬_has_part', '08831004'), ('08831004', '_has_part', '08832447'), ('08832447', '_hypernym', '08654360')], '08832447')
([('15233047', '¬_has_part', '15232406'), ('15232406', '_has_part', '15232899'), ('15232899', '_instance_hypernym', '15113229')], '15113229')
([('09077821', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08994834'), ('08994834', '_instance_hypernym', '08524735')], '08524735')
([('09155692', '¬_has_part', '09155306'), ('09155306', '_has_part', '09156241'), ('09156241', '_instance_hypernym', '08524735')], '08524735')
([('08018666', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08016035'), ('08016035', '_instance_hypernym', '08392137')], '08392137')
([('08895771', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '09054480'), ('09054480', '_instance_hypernym', '08633957')], '08633957')
([('08043848', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08015731'), ('08015731', '_instance_hypernym', '08392137')], '08392137')
([('11386692', '_instance_hypernym', '10030277'), ('10030277', '_hypernym', '10794014'), ('10794014', '¬_hypernym', '09946957')], '10794014')
([('11164671', '_instance_hypernym', '10067305'), ('10067305', '¬_instance_hypernym', '11085924'), ('11085924', '_instance_hypernym', '10547145')], '10547145')
([('09157766', '¬_has_part', '09157163'), ('09157163', '_has_part', '09158501'), ('09158501', '_instance_hypernym', '08524735')], '08524735')
([('09025451', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08786432'), ('08786432', '_instance_hypernym', '08633957')], '08633957')
([('09130452', '¬_has_part', '09130076'), ('09130076', '_has_part', '09131553'), ('09131553', '_instance_hypernym', '08524735')], '08524735')
([('08798195', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08746475'), ('08746475', '_instance_hypernym', '08524735')], '08524735')
([('08043169', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08013845'), ('08013845', '_instance_hypernym', '08392137')], '08392137')
([('08879388', '¬_has_part', '08871007'), ('08871007', '_has_part', '08877208'), ('08877208', '_instance_hypernym', '08633957')], '08633957')
([('08762495', '¬_has_part', '09189411'), ('09189411', '_has_part', '08718577'), ('08718577', '_instance_hypernym', '08698379')], '08698379')
([('06431156', '¬_has_part', '06431496'), ('06431496', '_instance_hypernym', '06429590'), ('06429590', '¬_instance_hypernym', '06452363')], '06429590')
([('08024408', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08029421'), ('08029421', '_instance_hypernym', '08392137')], '08392137')
([('08933940', '¬_has_part', '08932568'), ('08932568', '_has_part', '08933084'), ('08933084', '_instance_hypernym', '08641113')], '08641113')
([('11086774', '_instance_hypernym', '10705615'), ('10705615', '¬_instance_hypernym', '10828573'), ('10828573', '_instance_hypernym', '09921792')], '09921792')
([('09150863', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08850741'), ('08850741', '_instance_hypernym', '08524735')], '08524735')
([('08934532', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08766667'), ('08766667', '_instance_hypernym', '08524735')], '08524735')
([('08774704', '¬_has_part', '08766988'), ('08766988', '_has_part', '08771277'), ('08771277', '_instance_hypernym', '08524735')], '08524735')
([('08012765', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08044265'), ('08044265', '_instance_hypernym', '08392137')], '08392137')
([('09195796', '¬_has_part', '09370773'), ('09370773', '_instance_hypernym', '09475292'), ('09475292', '¬_instance_hypernym', '09482715')], '09475292')
([('09039260', '¬_has_part', '08913434'), ('08913434', '_has_part', '08917503'), ('08917503', '_instance_hypernym', '08574314')], '08574314')
([('08701719', '¬_has_part', '08701942'), ('08701942', '_has_part', '08503921'), ('08503921', '_instance_hypernym', '08574314')], '08574314')
([('08813264', '¬_has_part', '08812952'), ('08812952', '_has_part', '08813156'), ('08813156', '_instance_hypernym', '08524735')], '08524735')
([('09083390', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09042322'), ('09042322', '_instance_hypernym', '08524735')], '08524735')
([('08727806', '¬_has_part', '08723006'), ('08723006', '_has_part', '08728749'), ('08728749', '_instance_hypernym', '08524735')], '08524735')
([('06433035', '¬_has_part', '06451891'), ('06451891', '_has_part', '06432376'), ('06432376', '_instance_hypernym', '06394865')], '06394865')
([('08984332', '¬_has_part', '08982587'), ('08982587', '_has_part', '08983274'), ('08983274', '_instance_hypernym', '08524735')], '08524735')
([('08751494', '¬_has_part', '08709038'), ('08709038', '_has_part', '08988609'), ('08988609', '_instance_hypernym', '08544813')], '08544813')
([('08976799', '¬_has_part', '08975902'), ('08975902', '_has_part', '08977665'), ('08977665', '_instance_hypernym', '08524735')], '08524735')
([('06431496', '_has_part', '06431156'), ('06431156', '_instance_hypernym', '06429590'), ('06429590', '¬_instance_hypernym', '06431496')], '06429590')
([('09038439', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08889400'), ('08889400', '_instance_hypernym', '08524735')], '08524735')
([('08739206', '¬_member_meronym', '08176077'), ('08176077', '_member_meronym', '08736107'), ('08736107', '_instance_hypernym', '08703035')], '08703035')
([('09403581', '¬_has_part', '09323824'), ('09323824', '_has_part', '09287289'), ('09287289', '_instance_hypernym', '09360122')], '09360122')
([('09338453', '_synset_domain_topic_of', '07979425'), ('07979425', '¬_synset_domain_topic_of', '09186709'), ('09186709', '_instance_hypernym', '09411430')], '09411430')
([('06438477', '¬_has_part', '06453324'), ('06453324', '_has_part', '06436939'), ('06436939', '_instance_hypernym', '06394865')], '06394865')
([('06433475', '¬_has_part', '06451891'), ('06451891', '_has_part', '06432715'), ('06432715', '_instance_hypernym', '06394865')], '06394865')
([('09172111', '¬_has_part', '09167767'), ('09167767', '_instance_hypernym', '08505573'), ('08505573', '_hypernym', '08673395')], '08505573')
([('08798062', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08849372'), ('08849372', '_instance_hypernym', '08524735')], '08524735')
([('08836886', '¬_has_part', '08835875'), ('08835875', '_instance_hypernym', '09203827'), ('09203827', '¬_instance_hypernym', '08747737')], '09203827')
([('09085209', '¬_has_part', '09084750'), ('09084750', '_has_part', '09086070'), ('09086070', '_instance_hypernym', '08524735')], '08524735')
([('15232899', '¬_has_part', '15232406'), ('15232406', '_instance_hypernym', '15113229'), ('15113229', '¬_hypernym', '15167906')], '15113229')
([('15233047', '¬_has_part', '15232406'), ('15232406', '_instance_hypernym', '15113229'), ('15113229', 'NO_OP', '15113229')], '15113229')
([('09091909', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '09073258'), ('09073258', '_instance_hypernym', '08638442')], '08638442')
([('08856475', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09042322'), ('09042322', '_instance_hypernym', '08524735')], '08524735')
([('09087450', '¬_has_part', '09086173'), ('09086173', '_has_part', '09086793'), ('09086793', '_instance_hypernym', '08524735')], '08524735')
([('09012530', '_instance_hypernym', '08691669'), ('08691669', '¬_instance_hypernym', '08762823'), ('08762823', '_instance_hypernym', '08633957')], '08633957')
([('15232899', '¬_has_part', '15232406'), ('15232406', '_instance_hypernym', '15113229'), ('15113229', '¬_hypernym', '15294382')], '15113229')
([('08924238', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08722084'), ('08722084', '_instance_hypernym', '08633957')], '08633957')
([('08946812', '¬_has_part', '08946187'), ('08946187', '_has_part', '08946715'), ('08946715', '_instance_hypernym', '08524735')], '08524735')
([('08811473', '¬_has_part', '08811215'), ('08811215', '_has_part', '08810051'), ('08810051', '_instance_hypernym', '08524735')], '08524735')
([('08984332', '¬_has_part', '08982587'), ('08982587', '_has_part', '08984010'), ('08984010', '_instance_hypernym', '08524735')], '08524735')
([('15128711', 'NO_OP', '15128711'), ('15128711', '_has_part', '15128997'), ('15128997', '_instance_hypernym', '15243730')], '15243730')
([('08944818', '¬_has_part', '08929922'), ('08929922', '_has_part', '08945277'), ('08945277', '_instance_hypernym', '08574314')], '08574314')
([('09025584', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08850741'), ('08850741', '_instance_hypernym', '08524735')], '08524735')
([('08892971', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08895497'), ('08895497', '_instance_hypernym', '08524735')], '08524735')
([('09026780', '¬_has_part', '09023321'), ('09023321', '_has_part', '09028477'), ('09028477', '_instance_hypernym', '08524735')], '08524735')
([('08041106', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08043848'), ('08043848', '_instance_hypernym', '08392137')], '08392137')
([('09128947', '¬_has_part', '09126305'), ('09126305', '_has_part', '09128372'), ('09128372', '_instance_hypernym', '08524735')], '08524735')
([('08797840', 'NO_OP', '08797840'), ('08797840', '_has_part', '08798195'), ('08798195', '_instance_hypernym', '08524735')], '08524735')
([('09165294', '¬_has_part', '09164561'), ('09164561', '_has_part', '09164903'), ('09164903', '_instance_hypernym', '08524735')], '08524735')
([('06435651', '¬_has_part', '06435394'), ('06435394', '_has_part', '06435916'), ('06435916', '_instance_hypernym', '06394865')], '06394865')
