WN18RR, _member_of_domain_region_WN18_generic_PPO_simple_embedding_100
([('08860123', '_member_of_domain_region', '13752679'), ('13752679', '_hypernym', '13745420'), ('13745420', '¬_hypernym', '13753067')], '13753067')
([('08798771', '_member_of_domain_region', '08320385'), ('08320385', '_hypernym', '08472335'), ('08472335', '¬_instance_hypernym', '08011523')], '08011523')
([('09137032', '¬_has_part', '09048880'), ('09048880', '_member_of_domain_region', '07689003'), ('07689003', '¬_hypernym', '07689217')], '07689217')
([('09002814', '_member_of_domain_region', '09987239'), ('09987239', '¬_instance_hypernym', '10812550'), ('10812550', 'NO_OP', '10812550')], '10812550')
([('09002814', 'NO_OP', '09002814'), ('09002814', '_member_of_domain_region', '10812800'), ('10812800', '_instance_hypernym', '09987239')], '09987239')
([('09002814', '_member_of_domain_region', '10812550'), ('10812550', '_instance_hypernym', '09987239'), ('09987239', '_derivationally_related_form', '02710043')], '09987239')
([('08780881', '_member_of_domain_region', '07464402'), ('07464402', '_synset_domain_topic_of', '15253139'), ('15253139', '¬_synset_domain_topic_of', '09920106')], '09920106')
([('09189411', '_member_of_domain_region', '09636339'), ('09636339', '¬_member_of_domain_region', '09189411'), ('09189411', '_has_part', '08699654')], '08699654')
([('09002814', '_member_of_domain_region', '10812800'), ('10812800', '_instance_hypernym', '09987239'), ('09987239', '_derivationally_related_form', '02710043')], '09987239')
([('08766988', '_member_of_domain_region', '01285305'), ('01285305', '_instance_hypernym', '00956485'), ('00956485', '¬_instance_hypernym', '01271915')], '01271915')
([('08916316', '_has_part', '08916832'), ('08916832', 'NO_OP', '08916832'), ('08916832', '_has_part', '04460634')], '08916832')
([('08798771', '_member_of_domain_region', '08011523'), ('08011523', '¬_member_meronym', '08320385'), ('08320385', '_member_meronym', '08011523')], '08320385')
([('09002814', '_member_of_domain_region', '10812800'), ('10812800', 'NO_OP', '10812800'), ('10812800', '_instance_hypernym', '09987239')], '09987239')
([('09002814', '_member_of_domain_region', '10812550'), ('10812550', '_instance_hypernym', '09987239'), ('09987239', '_derivationally_related_form', '02710043')], '09987239')
([('09189411', '_has_part', '08762495'), ('08762495', '¬_has_part', '08999154'), ('08999154', '¬_member_of_domain_region', '09189411')], '08999154')
([('08954611', '_has_part', '08955082'), ('08955082', '_member_of_domain_region', '01299994'), ('01299994', '¬_has_part', '01305551')], '01305551')
