WN18RR, _member_of_domain_usage_WN18_generic_PPO_simple_embedding_100
([('06845599', '_member_of_domain_usage', '03568653'), ('03568653', '_hypernym', '03828465'), ('03828465', '¬_hypernym', '03371532')], '03371532')
([('07157273', '_member_of_domain_usage', '09641422'), ('09641422', '_hypernym', '09638875'), ('09638875', '¬_hypernym', '09641226')], '09641226')
([('06718862', '_member_of_domain_usage', '09638009'), ('09638009', '_hypernym', '09636339'), ('09636339', '¬_hypernym', '09636796')], '09636339')
([('06717170', '_member_of_domain_usage', '09643799'), ('09643799', '_hypernym', '09643078'), ('09643078', '¬_member_of_domain_usage', '06717170')], '09643078')
([('06717170', '_member_of_domain_usage', '09682122'), ('09682122', '¬_member_of_domain_usage', '06718862'), ('06718862', '_member_of_domain_usage', '09720406')], '09720406')
([('06845599', '_member_of_domain_usage', '02989178'), ('02989178', '_hypernym', '02996840'), ('02996840', '¬_hypernym', '02996249')], '02996249')
([('06717170', '_member_of_domain_usage', '09720406'), ('09720406', '¬_member_of_domain_usage', '06718862'), ('06718862', '_member_of_domain_usage', '09638009')], '09638009')
([('08860123', '_member_of_domain_region', '03906590'), ('03906590', '_hypernym', '03904183'), ('03904183', '¬_member_of_domain_usage', '08860123')], '03904183')
([('07073447', '_member_of_domain_usage', '09637512'), ('09637512', '_hypernym', '09636339'), ('09636339', '¬_hypernym', '10431330')], '09636339')
([('06717170', '_member_of_domain_usage', '09641422'), ('09641422', '_hypernym', '09638875'), ('09638875', '¬_hypernym', '09641226')], '09641226')
([('06295235', '_member_of_domain_usage', '03763727'), ('03763727', '_hypernym', '03679384'), ('03679384', '¬_hypernym', '03763727')], '03679384')
([('06717170', '_member_of_domain_usage', '09643670'), ('09643670', '_hypernym', '09643078'), ('09643078', '¬_hypernym', '09643799')], '09643799')
([('06718862', '_member_of_domain_usage', '10431330'), ('10431330', '¬_member_of_domain_usage', '06717170'), ('06717170', '_member_of_domain_usage', '09638009')], '09638009')
([('06717170', '_member_of_domain_usage', '09641422'), ('09641422', '_hypernym', '09638875'), ('09638875', '¬_hypernym', '09641226')], '09641226')
([('06851742', '¬_synset_domain_topic_of', '02911890'), ('02911890', '_hypernym', '02748618'), ('02748618', '_hypernym', '15009843')], '02748618')
([('06718862', '_member_of_domain_usage', '09637684'), ('09637684', '_hypernym', '09636339'), ('09636339', '¬_hypernym', '09637211')], '09636339')
([('06718862', '_member_of_domain_usage', '10431330'), ('10431330', '¬_member_of_domain_usage', '06717170'), ('06717170', '_member_of_domain_usage', '09682122')], '09682122')
([('06718862', '_member_of_domain_usage', '09637684'), ('09637684', '_hypernym', '09636339'), ('09636339', '¬_member_of_domain_usage', '06718862')], '09636339')
([('06295235', '_member_of_domain_usage', '02841315'), ('02841315', '_hypernym', '03852280'), ('03852280', '¬_hypernym', '04272054')], '04272054')
([('06717170', '_member_of_domain_usage', '09641226'), ('09641226', '_hypernym', '09638875'), ('09638875', '¬_hypernym', '09641422')], '09641422')
([('07073447', '_member_of_domain_usage', '09637512'), ('09637512', '_hypernym', '09636339'), ('09636339', '¬_hypernym', '09636796')], '09636339')
([('06717170', '_member_of_domain_usage', '09638009'), ('09638009', '¬_member_of_domain_usage', '06718862'), ('06718862', '_member_of_domain_usage', '10431330')], '10431330')
