WN18RR, _member_meronym_WN18_generic_PPO_simple_embedding_100
([('08953324', '¬_has_part', '08953151'), ('08953151', '_has_part', '08953324'), ('08953324', '¬_derivationally_related_form', '09714120')], '09714120')
([('02271740', '_member_meronym', '02272428'), ('02272428', '_member_meronym', '02272552'), ('02272552', '_hypernym', '02271897')], '02271897')
([('12405209', '_member_meronym', '12406304'), ('12406304', '_hypernym', '12405714'), ('12405714', '¬_hypernym', '12406304')], '12405714')
([('12449024', '_member_meronym', '12449934'), ('12449934', '_hypernym', '12449296'), ('12449296', '¬_member_meronym', '12449024')], '12449296')
([('11973888', '_member_meronym', '11974557'), ('11974557', '_hypernym', '11974126'), ('11974126', 'NO_OP', '11974126')], '11974126')
([('02441723', '¬_member_meronym', '02440705'), ('02440705', '_member_meronym', '02441326'), ('02441326', '¬_hypernym', '02443114')], '02443114')
([('13144511', '_member_meronym', '13144794'), ('13144794', '¬_hypernym', '13145444'), ('13145444', '_hypernym', '13144794')], '13145444')
([('12796617', '_member_meronym', '12797025'), ('12797025', 'NO_OP', '12797025'), ('12797025', '_hypernym', '12796849')], '12796849')
([('01854223', '_member_meronym', '01854838'), ('01854838', 'NO_OP', '01854838'), ('01854838', '_hypernym', '01854415')], '01854415')
([('11996792', '_member_meronym', '11997032'), ('11997032', '¬_hypernym', '11997160'), ('11997160', '¬_member_meronym', '11996792')], '11997160')
([('12359026', '_member_meronym', '12385046'), ('12385046', '_hypernym', '11565385'), ('11565385', '¬_hypernym', '12034828')], '12034828')
([('08952190', '_derivationally_related_form', '02961505'), ('02961505', 'NO_OP', '02961505'), ('02961505', '_derivationally_related_form', '09713985')], '09713985')
([('08967484', '_derivationally_related_form', '03084759'), ('03084759', '_derivationally_related_form', '09722530'), ('09722530', '¬_derivationally_related_form', '03084759')], '09722530')
([('12319687', '_member_meronym', '12321395'), ('12321395', '_has_part', '07774295'), ('07774295', '¬_has_part', '12321873')], '12321873')
([('08894456', '¬_derivationally_related_form', '03130073'), ('03130073', '_derivationally_related_form', '09747329'), ('09747329', '¬_member_meronym', '08894456')], '09747329')
