NELL-995, music_artist_genre_NELL_BASE_simple_embedding_150
([('concept_musicartist_allman_brothers', 'concept:musicartistgenre', 'concept_musicgenre_southern_rock'), ('concept_musicgenre_southern_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_grunge')], 'concept_musicgenre_rock')
([('concept_musicartist_limp_bizkit', 'concept:musicartistgenre', 'concept_musicgenre_nu'), ('concept_musicgenre_nu', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_nu_metal'), ('concept_musicgenre_nu_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_sonic_youth', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_guster')], 'concept_musicgenre_rock')
([('concept_musicartist_mayhem', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_metal_church')], 'concept_musicgenre_metal')
([('concept_musicartist_wilco', 'NO_OP', 'concept_musicartist_wilco'), ('concept_musicartist_wilco', 'concept:musicartistgenre', 'concept_musicgenre_alt_country'), ('concept_musicgenre_alt_country', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_low', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_modest_mouse'), ('concept_musicartist_modest_mouse', 'concept:musicartistgenre', 'concept_musicgenre_indie')], 'concept_musicgenre_indie')
([('concept_musicartist_pearl_jam', 'concept:musicartistgenre', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_staind')], 'concept_musicgenre_rock')
([('concept_musicartist_public_enemy', 'concept:musicartistgenre', 'concept_musicgenre_hip_hop'), ('concept_musicgenre_hip_hop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rap'), ('concept_musicgenre_rap', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hip_hop')], 'concept_musicgenre_rap')
([('concept_musicartist_the_eagles', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_hendrix'), ('concept_musicartist_hendrix', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock')], 'concept_musicgenre_classic_rock')
([('concept_musicartist_cradle_of_filth', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_fear_factory')], 'concept_musicgenre_metal')
([('concept_musicartist_r_e_m_', 'concept:musicartistgenre', 'concept_musicgenre_alternative'), ('concept_musicgenre_alternative', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_british_rock')], 'concept_musicgenre_rock')
