WN18RR, _similar_to_WN18_generic_PPO_simple_embedding_100
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_hypernym', '00445711'), ('00445711', '_hypernym', '00445169')], '00445169')
([('01548694', '¬_similar_to', '01548193'), ('01548193', '¬_also_see', '00360650'), ('00360650', 'NO_OP', '00360650')], '01548193')
([('00708017', '¬_similar_to', '00709625'), ('00709625', 'NO_OP', '00709625'), ('00709625', 'NO_OP', '00709625')], '00709625')
([('01948573', '¬_similar_to', '01947266'), ('01947266', 'NO_OP', '01947266'), ('01947266', 'NO_OP', '01947266')], '01947266')
([('00780575', 'NO_OP', '00780575'), ('00780575', '¬_similar_to', '00779374'), ('00779374', 'NO_OP', '00779374')], '00779374')
([('01548694', '¬_similar_to', '01548193'), ('01548193', 'NO_OP', '01548193'), ('01548193', 'NO_OP', '01548193')], '01548193')
([('02111684', '¬_similar_to', '02112891'), ('02112891', '¬_similar_to', '02111684'), ('02111684', 'NO_OP', '02111684')], '02112891')
([('01161635', 'NO_OP', '01161635'), ('01161635', '¬_similar_to', '01160031'), ('01160031', 'NO_OP', '01160031')], '01160031')
([('00319534', '¬_similar_to', '00320536'), ('00320536', 'NO_OP', '00320536'), ('00320536', 'NO_OP', '00320536')], '00320536')
([('00535844', 'NO_OP', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00394562', '¬_similar_to', '00400101'), ('00400101', '¬_similar_to', '00394562'), ('00394562', '¬_similar_to', '00400101')], '00400101')
([('00166146', 'NO_OP', '00166146'), ('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146')], '00168910')
([('00131018', '¬_similar_to', '00130778'), ('00130778', '¬_similar_to', '00131018'), ('00131018', '¬_similar_to', '00130778')], '00130778')
([('00727564', '¬_similar_to', '00728826'), ('00728826', 'NO_OP', '00728826'), ('00728826', 'NO_OP', '00728826')], '00728826')
([('02112891', 'NO_OP', '02112891'), ('02112891', 'NO_OP', '02112891'), ('02112891', '¬_similar_to', '02111684')], '02111684')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('01412415', '¬_similar_to', '01412912'), ('01412912', '_hypernym', '01101913'), ('01101913', '_verb_group', '01104852')], '01412912')
([('00166146', '¬_similar_to', '00167278'), ('00167278', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910')], '00167278')
([('00733632', '¬_similar_to', '00732960'), ('00732960', 'NO_OP', '00732960'), ('00732960', 'NO_OP', '00732960')], '00732960')
([('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862'), ('02559862', 'NO_OP', '02559862')], '02559862')
([('00003356', '¬_similar_to', '00003553'), ('00003553', '¬_similar_to', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003553')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('02505141', '¬_similar_to', '02504131'), ('02504131', 'NO_OP', '02504131'), ('02504131', 'NO_OP', '02504131')], '02504131')
([('01834304', '¬_similar_to', '01835276'), ('01835276', '¬_similar_to', '01834304'), ('01834304', '¬_similar_to', '01835276')], '01835276')
([('00167278', 'NO_OP', '00167278'), ('00167278', '¬_similar_to', '00166146'), ('00166146', 'NO_OP', '00166146')], '00166146')
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('00095873', '¬_similar_to', '00095280'), ('00095280', '¬_similar_to', '00095873'), ('00095873', '¬_similar_to', '00095280')], '00095280')
([('01252566', '¬_similar_to', '01251128'), ('01251128', 'NO_OP', '01251128'), ('01251128', 'NO_OP', '01251128')], '01251128')
([('00064479', '¬_similar_to', '00065184'), ('00065184', '¬_similar_to', '00064479'), ('00064479', '¬_similar_to', '00065184')], '00065184')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('02505141', '¬_similar_to', '02504131'), ('02504131', 'NO_OP', '02504131'), ('02504131', 'NO_OP', '02504131')], '02504131')
([('02344381', '¬_similar_to', '02341266'), ('02341266', 'NO_OP', '02341266'), ('02341266', 'NO_OP', '02341266')], '02341266')
([('01751353', '¬_similar_to', '01749320'), ('01749320', '_also_see', '00914421'), ('00914421', '¬_derivationally_related_form', '04803430')], '01749320')
([('00535844', 'NO_OP', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00733632', '¬_similar_to', '00732960'), ('00732960', 'NO_OP', '00732960'), ('00732960', 'NO_OP', '00732960')], '00732960')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('00167278', 'NO_OP', '00167278'), ('00167278', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910')], '00166146')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('02559862', 'NO_OP', '02559862'), ('02559862', 'NO_OP', '02559862'), ('02559862', '¬_similar_to', '02559180')], '02559180')
([('00727564', '¬_similar_to', '00728826'), ('00728826', 'NO_OP', '00728826'), ('00728826', 'NO_OP', '00728826')], '00728826')
([('01834304', '¬_similar_to', '01835276'), ('01835276', '¬_similar_to', '01834304'), ('01834304', 'NO_OP', '01834304')], '01835276')
([('00168910', '¬_similar_to', '00166146'), ('00166146', '_similar_to', '00167278'), ('00167278', '¬_similar_to', '00166146')], '00166146')
([('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', '¬_similar_to', '00536655')], '00535452')
