WN18RR, _synset_domain_topic_of_WN18_generic_PPO_simple_embedding_100
([('03464757', 'NO_OP', '03464757'), ('03464757', '_hypernym', '03504420'), ('03504420', '_synset_domain_topic_of', '08199025')], '08199025')
([('00399074', '_verb_group', '00399368'), ('00399368', '_synset_domain_topic_of', '06090869'), ('06090869', '¬_synset_domain_topic_of', '00443984')], '06090869')
([('05176846', '¬_hypernym', '05182563'), ('05182563', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '01015244')], '08441203')
([('10652954', '¬_derivationally_related_form', '06018465'), ('06018465', '¬_synset_domain_topic_of', '06023969'), ('06023969', '_synset_domain_topic_of', '06018465')], '06018465')
([('01471954', '_derivationally_related_form', '15152261'), ('15152261', '_hypernym', '13952601'), ('13952601', '_synset_domain_topic_of', '08441203')], '08441203')
([('08454003', '¬_hypernym', '08454191'), ('08454191', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '08454191')], '08441203')
([('08085648', 'NO_OP', '08085648'), ('08085648', 'NO_OP', '08085648'), ('08085648', '¬_has_part', '08083599')], '08083599')
([('01409523', '¬_derivationally_related_form', '00132756'), ('00132756', '_hypernym', '00131090'), ('00131090', '_synset_domain_topic_of', '00471613')], '00471613')
([('08426816', '¬_hypernym', '08427453'), ('08427453', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '03646809')], '08199025')
([('10304914', '_hypernym', '10136959'), ('10136959', '_derivationally_related_form', '01146793'), ('01146793', '¬_derivationally_related_form', '00464894')], '00464894')
([('00955060', '¬_hypernym', '00959992'), ('00959992', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '09945021')], '08199025')
([('00570003', 'NO_OP', '00570003'), ('00570003', '¬_verb_group', '00570205'), ('00570205', '_synset_domain_topic_of', '06084469')], '06084469')
([('06562993', 'NO_OP', '06562993'), ('06562993', '_hypernym', '06559365'), ('06559365', '_synset_domain_topic_of', '08441203')], '08441203')
([('03930087', '_hypernym', '03764276'), ('03764276', '¬_hypernym', '03919096'), ('03919096', '_synset_domain_topic_of', '08199025')], '08199025')
([('07225857', '¬_hypernym', '07226151'), ('07226151', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08206460')], '08199025')
([('00443984', '¬_derivationally_related_form', '14940100'), ('14940100', '_derivationally_related_form', '00444309'), ('00444309', '_synset_domain_topic_of', '06090869')], '06090869')
([('02192570', '_hypernym', '02191766'), ('02191766', '_synset_domain_topic_of', '00243918'), ('00243918', '¬_synset_domain_topic_of', '07836456')], '00243918')
([('07086861', '¬_has_part', '07064715'), ('07064715', '¬_hypernym', '07065562'), ('07065562', '_hypernym', '07064715')], '07064715')
([('08454191', 'NO_OP', '08454191'), ('08454191', '_hypernym', '08454003'), ('08454003', '_hypernym', '08441203')], '08441203')
([('00057748', '_hypernym', '00952963'), ('00952963', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08214272')], '08199025')
([('08085824', 'NO_OP', '08085824'), ('08085824', '_member_meronym', '09894143'), ('09894143', '_synset_domain_topic_of', '08083599')], '08083599')
([('08017974', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08016035'), ('08016035', '_synset_domain_topic_of', '00759694')], '00759694')
([('10702781', '_derivationally_related_form', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08038748'), ('08038748', '¬_member_of_domain_region', '08792548')], '00759694')
([('03751065', '¬_derivationally_related_form', '01176079'), ('01176079', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '10028765')], '08199025')
([('00471437', 'NO_OP', '00471437'), ('00471437', '¬_hypernym', '00471613'), ('00471613', '¬_synset_domain_topic_of', '07261300')], '00471613')
([('00326619', 'NO_OP', '00326619'), ('00326619', '_hypernym', '00325328'), ('00325328', '_synset_domain_topic_of', '00243918')], '00243918')
([('01666002', '_hypernym', '01664172'), ('01664172', '¬_hypernym', '01665507'), ('01665507', '_synset_domain_topic_of', '00243918')], '00243918')
([('13501059', 'NO_OP', '13501059'), ('13501059', '_hypernym', '13459322'), ('13459322', '_synset_domain_topic_of', '06055946')], '06055946')
([('01181902', '¬_derivationally_related_form', '02582042'), ('02582042', '¬_derivationally_related_form', '01182654'), ('01182654', '_synset_domain_topic_of', '08441203')], '08441203')
([('02277448', '¬_hypernym', '02277663'), ('02277663', 'NO_OP', '02277663'), ('02277663', '_synset_domain_topic_of', '00766234')], '00766234')
([('00648764', '_hypernym', '00648224'), ('00648224', '¬_hypernym', '00649033'), ('00649033', '_synset_domain_topic_of', '06128570')], '06128570')
([('10339966', '¬_derivationally_related_form', '07020895'), ('07020895', '¬_synset_domain_topic_of', '04990525'), ('04990525', '_synset_domain_topic_of', '07020895')], '07020895')
([('05904135', 'NO_OP', '05904135'), ('05904135', '_hypernym', '05903229'), ('05903229', '_synset_domain_topic_of', '08441203')], '08441203')
([('01199035', '_hypernym', '01198750'), ('01198750', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06552320')], '08441203')
([('08196024', '_hypernym', '08198137'), ('08198137', '¬_hypernym', '08191701'), ('08191701', '_synset_domain_topic_of', '08199025')], '08199025')
([('08390374', '_hypernym', '08390157'), ('08390157', 'NO_OP', '08390157'), ('08390157', '_synset_domain_topic_of', '08199025')], '08199025')
([('08334693', 'NO_OP', '08334693'), ('08334693', '_hypernym', '08334087'), ('08334087', '_synset_domain_topic_of', '08441203')], '08441203')
([('08211290', '_member_meronym', '10317500'), ('10317500', '¬_hypernym', '10486561'), ('10486561', '_synset_domain_topic_of', '08199025')], '08199025')
([('01704452', '¬_hypernym', '01704752'), ('01704752', 'NO_OP', '01704752'), ('01704752', '_synset_domain_topic_of', '00929718')], '00929718')
([('01163620', 'NO_OP', '01163620'), ('01163620', '¬_derivationally_related_form', '00922327'), ('00922327', 'NO_OP', '00922327')], '00922327')
([('10582746', '¬_hypernym', '10369955'), ('10369955', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08482700')], '08199025')
([('10205457', '¬_hypernym', '10568200'), ('10568200', '_synset_domain_topic_of', '00475787'), ('00475787', '¬_synset_domain_topic_of', '10386984')], '00475787')
([('06539502', '¬_hypernym', '06558088'), ('06558088', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06539178')], '08441203')
([('05182563', '_hypernym', '05176846'), ('05176846', 'NO_OP', '05176846'), ('05176846', '_synset_domain_topic_of', '08441203')], '08441203')
([('03930087', '_hypernym', '03764276'), ('03764276', '¬_hypernym', '04552696'), ('04552696', '_synset_domain_topic_of', '08199025')], '08199025')
([('08392137', '¬_instance_hypernym', '08021785'), ('08021785', 'NO_OP', '08021785'), ('08021785', '_synset_domain_topic_of', '00759694')], '00759694')
([('03324928', 'NO_OP', '03324928'), ('03324928', '_hypernym', '03763968'), ('03763968', '_synset_domain_topic_of', '08199025')], '08199025')
([('02277663', '_hypernym', '02277448'), ('02277448', '_synset_domain_topic_of', '00766234'), ('00766234', '¬_synset_domain_topic_of', '01472251')], '00766234')
([('07340094', '¬_hypernym', '07340725'), ('07340725', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08128159')], '08199025')
([('09917214', 'NO_OP', '09917214'), ('09917214', '_hypernym', '10317007'), ('10317007', '_synset_domain_topic_of', '08199025')], '08199025')
([('03751065', '_derivationally_related_form', '01176079'), ('01176079', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '00955806')], '08199025')
([('08190754', '_member_meronym', '08397255'), ('08397255', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '07226330')], '08199025')
([('10087080', 'NO_OP', '10087080'), ('10087080', '_hypernym', '09943239'), ('09943239', '_synset_domain_topic_of', '08199025')], '08199025')
([('10087434', '_hypernym', '09939827'), ('09939827', 'NO_OP', '09939827'), ('09939827', '_synset_domain_topic_of', '08199025')], '08199025')
([('13839662', '_member_meronym', '10249950'), ('10249950', '¬_derivationally_related_form', '00611143'), ('00611143', '_synset_domain_topic_of', '08441203')], '08441203')
([('08085648', '¬_has_part', '08083599'), ('08083599', '¬_synset_domain_topic_of', '10212338'), ('10212338', '_synset_domain_topic_of', '08083599')], '08083599')
([('01472417', 'NO_OP', '01472417'), ('01472417', '_hypernym', '01471825'), ('01471825', '_synset_domain_topic_of', '00766234')], '00766234')
([('01191975', '_hypernym', '01187810'), ('01187810', '¬_hypernym', '01190364'), ('01190364', '_synset_domain_topic_of', '08441203')], '08441203')
([('06027051', '_hypernym', '06026635'), ('06026635', '_synset_domain_topic_of', '06018465'), ('06018465', '_hypernym', '06018022')], '06018465')
([('10649574', '_hypernym', '10435988'), ('10435988', '_hypernym', '09835506'), ('09835506', '_synset_domain_topic_of', '00471613')], '00471613')
([('06026635', '_hypernym', '05729036'), ('05729036', '_synset_domain_topic_of', '06018465'), ('06018465', '¬_synset_domain_topic_of', '06032246')], '06018465')
([('08397856', '_hypernym', '08397255'), ('08397255', '¬_hypernym', '08397675'), ('08397675', '_synset_domain_topic_of', '08199025')], '08199025')
([('02301151', '_hypernym', '02300060'), ('02300060', '_derivationally_related_form', '06737112'), ('06737112', '¬_has_part', '00490569')], '00490569')
([('03464757', 'NO_OP', '03464757'), ('03464757', '_hypernym', '03504420'), ('03504420', '_synset_domain_topic_of', '08199025')], '08199025')
([('02113622', '_hypernym', '02113430'), ('02113430', 'NO_OP', '02113430'), ('02113430', '_synset_domain_topic_of', '00903559')], '00903559')
([('06547059', '¬_hypernym', '06548498'), ('06548498', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '00736219')], '08441203')
([('00056912', '¬_hypernym', '00057306'), ('00057306', 'NO_OP', '00057306'), ('00057306', '_synset_domain_topic_of', '08199025')], '08199025')
([('13952601', 'NO_OP', '13952601'), ('13952601', '¬_hypernym', '13963757'), ('13963757', '_synset_domain_topic_of', '08441203')], '08441203')
([('10282014', '_derivationally_related_form', '06235829'), ('06235829', 'NO_OP', '06235829'), ('06235829', '_hypernym', '06234825')], '06234825')
([('09394007', '¬_hypernym', '09381480'), ('09381480', '_synset_domain_topic_of', '06095022'), ('06095022', '¬_synset_domain_topic_of', '00043411')], '06095022')
([('05881867', '_hypernym', '05872982'), ('05872982', '¬_hypernym', '05882793'), ('05882793', '_synset_domain_topic_of', '06090869')], '06090869')
([('13423922', '¬_hypernym', '13496017'), ('13496017', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00475183')], '06084469')
([('06486405', '¬_has_part', '06486161'), ('06486161', 'NO_OP', '06486161'), ('06486161', '_synset_domain_topic_of', '00471613')], '00471613')
([('01183373', '_hypernym', '01182654'), ('01182654', 'NO_OP', '01182654'), ('01182654', '_synset_domain_topic_of', '08441203')], '08441203')
([('01184814', '¬_hypernym', '01186578'), ('01186578', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '01194331')], '08441203')
([('06558678', 'NO_OP', '06558678'), ('06558678', '_hypernym', '06556692'), ('06556692', '_synset_domain_topic_of', '08441203')], '08441203')
([('10249270', '¬_hypernym', '10253995'), ('10253995', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '01016626')], '08441203')
([('09830194', '¬_hypernym', '10498816'), ('10498816', '_synset_domain_topic_of', '00468480'), ('00468480', '_hypernym', '00467719')], '00468480')
([('10498816', '_derivationally_related_form', '01076370'), ('01076370', 'NO_OP', '01076370'), ('01076370', '_synset_domain_topic_of', '00468480')], '00468480')
([('00128976', '_hypernym', '00128638'), ('00128638', '_synset_domain_topic_of', '00471613'), ('00471613', '¬_synset_domain_topic_of', '00127286')], '00471613')
