WN18RR, _verb_group_WN18_generic_PPO_simple_embedding_100
([('01496630', '¬_verb_group', '01496843'), ('01496843', '¬_verb_group', '01496630'), ('01496630', '¬_verb_group', '01496843')], '01496843')
([('01906823', '¬_verb_group', '01904930'), ('01904930', '¬_verb_group', '01912893'), ('01912893', '_derivationally_related_form', '05003090')], '01904930')
([('02437465', 'NO_OP', '02437465'), ('02437465', '¬_verb_group', '00711932'), ('00711932', '_hypernym', '00734054')], '00711932')
([('00663353', '¬_verb_group', '00662589'), ('00662589', '¬_verb_group', '00663353'), ('00663353', '_derivationally_related_form', '00141806')], '00662589')
([('02609203', '¬_verb_group', '00348746'), ('00348746', '_derivationally_related_form', '00235435'), ('00235435', '_derivationally_related_form', '02600948')], '00348746')
([('02418686', '¬_verb_group', '02418421'), ('02418421', '¬_derivationally_related_form', '00041188'), ('00041188', '_derivationally_related_form', '02418421')], '02418421')
([('02273922', '¬_verb_group', '02273293'), ('02273293', '¬_verb_group', '02273922'), ('02273922', '_hypernym', '02205272')], '02273293')
([('01904293', '¬_verb_group', '01838651'), ('01838651', 'NO_OP', '01838651'), ('01838651', '_hypernym', '01835496')], '01838651')
([('01104852', 'NO_OP', '01104852'), ('01104852', '¬_verb_group', '01101913'), ('01101913', '_derivationally_related_form', '01176219')], '01101913')
([('02009433', '¬_verb_group', '02383440'), ('02383440', '¬_verb_group', '02009433'), ('02009433', '¬_verb_group', '02015598')], '02015598')
([('02093610', '¬_derivationally_related_form', '07439284'), ('07439284', '¬_derivationally_related_form', '02093610'), ('02093610', '¬_verb_group', '02093390')], '02093390')
([('00458471', '¬_verb_group', '00458754'), ('00458754', '¬_verb_group', '00458471'), ('00458471', '_hypernym', '00146138')], '00458754')
([('01149470', '¬_verb_group', '01080064'), ('01080064', '_verb_group', '01149470'), ('01149470', '_derivationally_related_form', '00430140')], '01080064')
([('02283716', '¬_verb_group', '02202384'), ('02202384', '¬_hypernym', '02212825'), ('02212825', '_verb_group', '02213074')], '02202384')
([('02498320', '¬_verb_group', '00795632'), ('00795632', '¬_verb_group', '02498320'), ('02498320', '¬_hypernym', '02283716')], '00795632')
([('01323338', 'NO_OP', '01323338'), ('01323338', '¬_verb_group', '01323793'), ('01323793', '¬_verb_group', '01323338')], '01323793')
([('01346978', '¬_verb_group', '01345109'), ('01345109', '¬_derivationally_related_form', '04211528'), ('04211528', '_derivationally_related_form', '01346978')], '01345109')
([('01155090', '¬_verb_group', '02018372'), ('02018372', '¬_verb_group', '01155090'), ('01155090', '¬_verb_group', '02018372')], '02018372')
([('01716619', '¬_verb_group', '01719921'), ('01719921', '¬_verb_group', '02744977'), ('02744977', '¬_verb_group', '01719921')], '01719921')
